Outcome,Weekend,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Cases,01-07-23,0_4,63.9,3.1,0,20.6,0,0,0,0,0,0,162642,0,0,104,5,0,0,4
Deaths,03-12-22,65_79,6.1,0,0.6,0,10.2,0,0,0,0,0,48822,53213,157042,3,0,1,65,79
Hospitalizations,08-12-23,65_79,7.6,9.2,7,0.8,1.1,0,0,0,0,0,39237,43418,171751,3,4,12,65,79
Cases,25-09-21,18_29,195.4,64.3,0,3,0,0,0,0,0,0,178597,304724,0,349,196,0,18,29
Hospitalizations,18-03-23,18_29,3.9,1.4,1.2,2.8,3.2,0,0,0,0,0,76420,213693,161668,3,3,2,18,29
Cases,02-12-22,80+,91.6,122.6,94.4,0.7,1,0,0,0,0,0,27303,15497,41310,25,19,39,80,200
Hospitalizations,10-02-21,50_64,39.2,4.8,0,8.2,0,0,0,0,0,0,79080,330032,0,31,16,0,50,64
Deaths,29-01-22,80+,116.5,83.9,22.5,1.4,5.2,0,0,0,0,0,27458,16677,39936,32,14,9,80,200
Hospitalizations,26-03-22,30_49,4.5,1,0.3,4.5,15,0,0,0,0,0,133230,291909,322847,6,3,1,30,49
Cases,04-08-23,18_29,75.1,18.7,37.1,4,2,0,0,0,0,0,75926,213911,161680,57,40,60,18,29
Cases,12-11-21,0_4,200.4,0,0,0,0,0,0,0,0,0,162642,0,0,326,0,0,0,4
Deaths,16-09-23,18_29,0,0,0,0,0,0,0,0,0,0,73185,214126,161725,0,0,0,18,29
Hospitalizations,24-06-23,80+,8.2,0,12.7,0,0.6,0,0,0,0,0,24509,11383,47130,2,0,6,80,200
Deaths,02-12-22,5_11,0,0,0,0,0,0,0,0,0,0,109671,68864,0,0,0,0,5,11
Cases,04-01-23,0_4,43,3.1,0,13.9,0,0,0,0,0,0,162642,0,0,70,5,0,0,4
Hospitalizations,20-11-21,All,20.8,5.1,2.3,4.1,9,30.8,5,1.2,6.1,26.5,893891,1383374,221328,186,71,5,999,999
Cases,14-10-23,18_29,47.7,14,17.9,3.4,2.7,0,0,0,0,0,71300,214478,161898,34,30,29,18,29
Deaths,16-09-23,80+,0,0,6.4,0,0,0,0,0,0,0,24446,11380,47134,0,0,3,80,200
Cases,29-10-22,65_79,150.2,152.2,135.8,1,1.1,0,0,0,0,0,42620,43357,171513,64,66,233,65,79
Hospitalizations,15-07-23,All,1.3,0.2,0.9,6.5,1.4,1.6,0.3,0.7,4.7,2.4,531292,860318,1040757,7,2,9,999,999
Cases,23-09-23,18_29,67.2,15.9,27.8,4.2,2.4,0,0,0,0,0,72891,214123,161728,49,34,45,18,29
Hospitalizations,02-04-23,0_4,1.8,0.6,0,3,0,0,0,0,0,0,162642,0,0,3,1,0,0,4
Hospitalizations,15-01-22,50_64,308.9,50.5,20.9,6.1,14.8,0,0,0,0,0,52767,184203,171854,163,93,36,50,64
Hospitalizations,19-06-21,65_79,5.4,0.5,0,10.8,0,0,0,0,0,0,74281,183897,0,4,1,0,65,79
Hospitalizations,25-03-23,80+,36.5,70.3,59.4,0.5,0.6,0,0,0,0,0,24648,11381,47126,9,8,28,80,200
Deaths,11-05-22,All,0.7,0.2,0.3,3.5,2.3,0.8,0.4,0.2,1.9,4.4,573510,847144,1039435,4,2,3,999,999
Cases,09-09-23,65_79,92,39.2,74.5,2.3,1.2,0,0,0,0,0,39140,43415,171755,36,17,128,65,79
Hospitalizations,06-05-21,All,7.3,0.7,0,10.4,0,9.8,0.5,0,20.4,0,1279034,1158544,0,94,8,0,999,999
Deaths,09-11-21,80+,16,5.7,0,2.8,0,0,0,0,0,0,31257,53008,0,5,3,0,80,200
Deaths,08-07-21,30_49,1.5,0,0,0,0,0,0,0,0,0,260144,501004,0,4,0,0,30,49
Cases,29-04-23,65_79,42.8,39.1,49.5,1.1,0.9,0,0,0,0,0,39684,43437,171725,17,17,85,65,79
Cases,08-05-23,5_11,8.9,2.4,4.7,3.7,1.9,0,0,0,0,0,89877,82672,21260,8,2,1,5,11
Hospitalizations,29-07-23,1_12,0,0,0,0,0,0,0,0,0,0,32091,86577,44592,0,0,0,12,17
Cases,29-07-23,5_11,2.2,2.4,28.2,0.9,0.1,0,0,0,0,0,89972,82669,21260,2,2,6,5,11
Deaths,22-10-22,30_49,0,0,0,0,0,0,0,0,0,0,119057,276343,347017,0,0,0,30,49
Deaths,06-12-21,1_12,0,0,0,0,0,0,0,0,0,0,118282,13905,0,0,0,0,12,17
Hospitalizations,12-04-21,1_12,5.1,0.9,0,5.7,0,0,0,0,0,0,58493,105452,0,3,1,0,12,17
Deaths,04-01-23,80+,4.1,0,2.1,0,2,0,0,0,0,0,24634,11382,47126,1,0,1,80,200
Hospitalizations,01-08-22,18_29,72.3,16.4,7.2,4.4,10,0,0,0,0,0,128651,256042,83774,93,42,6,18,29
Hospitalizations,04-01-23,50_64,17.9,3.2,4.5,5.6,4,0,0,0,0,0,33477,125679,246893,6,4,11,50,64
Deaths,05-01-21,65_79,9.2,0.7,0,13.1,0,0,0,0,0,0,86807,152729,0,8,1,0,65,79
Cases,05-06-23,65_79,30.3,25.3,32.6,1.2,0.9,0,0,0,0,0,39631,43437,171727,12,11,56,65,79
Hospitalizations,20-11-21,30_49,28.5,1.8,1.6,15.8,17.8,0,0,0,0,0,192730,502972,63876,55,9,1,30,49
Cases,19-03-22,30_49,77,27.7,72.9,2.8,1.1,0,0,0,0,0,133820,292802,320838,103,81,234,30,49
Hospitalizations,17-06-23,0_4,1.2,0,0,0,0,0,0,0,0,0,162642,0,0,2,0,0,0,4
Deaths,31-12-22,18_29,0,0,0,0,0,0,0,0,0,0,79293,212935,161619,0,0,0,18,29
Deaths,24-06-23,30_49,0,0,0,0,0,0,0,0,0,0,108055,278401,347307,0,0,0,30,49
Deaths,04-03-21,80+,19,0,0,0,0,0,0,0,0,0,42122,26360,0,8,0,0,80,200
Hospitalizations,04-02-22,80+,7.4,0,6.9,0,1.1,0,0,0,0,0,27040,13879,43312,2,0,3,80,200
Hospitalizations,30-09-23,50_64,21.9,2.4,2.8,9.1,7.8,0,0,0,0,0,31939,125717,246950,7,3,7,50,64
Deaths,16-09-23,All,0,0,0.4,0,0,0,0,0.3,0,0,526492,860284,1040830,0,0,4,999,999
Cases,12-03-22,5_11,174.3,120.8,165.7,1.4,1.1,0,0,0,0,0,92929,81116,21117,162,98,35,5,11
Deaths,04-01-23,50_64,0,0,0.4,0,0,0,0,0,0,0,33477,125679,246893,0,0,1,50,64
Hospitalizations,22-04-23,30_49,3.7,0.7,0.9,5.3,4.1,0,0,0,0,0,109408,278312,347288,4,2,3,30,49
Deaths,03-12-22,30_49,0.7,0,0,0,0,0,0,0,0,0,134617,294114,317904,1,0,0,30,49
Cases,28-10-23,80+,62.2,78.1,114.4,0.8,0.5,0,0,0,0,0,24124,11521,47222,15,9,54,80,200
Cases,23-07-22,5_11,153.8,135.6,215.4,1.1,0.7,0,0,0,0,0,98178,87751,9749,151,119,21,5,11
Hospitalizations,02-12-22,30_49,12.9,5.3,3.4,2.4,3.8,0,0,0,0,0,139578,302103,296569,18,16,10,30,49
Hospitalizations,21-05-22,50_64,18.5,9.8,3.8,1.9,4.9,0,0,0,0,0,43239,133132,235218,8,13,9,50,64
Cases,19-08-23,80+,53.1,52.7,65.8,1,0.8,0,0,0,0,0,24470,11380,47133,13,6,31,80,200
Hospitalizations,04-09-22,80+,7.4,21.8,9.2,0.3,0.8,0,0,0,0,0,26990,13754,43462,2,3,4,80,200
Cases,07-08-23,18_29,20.2,7.9,4.3,2.6,4.7,0,0,0,0,0,74160,214139,161703,15,17,7,18,29
Deaths,16-07-22,50_64,0,0,0.8,0,0,0,0,0,0,0,41521,128806,241470,0,0,2,50,64
Hospitalizations,15-01-22,5_11,2.4,2,0,1.2,0,0,0,0,0,0,125146,50035,0,3,1,0,5,11
Cases,14-10-23,65_79,49.5,36.8,55.8,1.3,0.9,0,0,0,0,0,38416,43494,171905,19,16,96,65,79
Hospitalizations,23-10-21,1_12,3.1,0,0,0,0,0,0,0,0,0,64979,99081,0,2,0,0,12,17
Cases,29-01-22,5_11,398.9,546.5,0,0.7,0,0,0,0,0,0,115323,59100,0,460,323,0,5,11
Hospitalizations,30-04-22,50_64,13.6,6.7,3.4,2,4,0,0,0,0,0,44059,135237,232184,6,9,8,50,64
Hospitalizations,24-04-21,65_79,62,2.8,0,22.1,0,0,0,0,0,0,90355,140945,0,56,4,0,65,79
Deaths,21-01-23,1_12,0,0,0,0,0,0,0,0,0,0,33470,86275,44545,0,0,0,12,17
Cases,13-05-23,18_29,71.8,13.1,17.9,5.5,4,0,0,0,0,0,75158,214134,161690,54,28,29,18,29
Cases,03-12-22,50_64,67.3,22.5,31,3,2.2,0,0,0,0,0,46039,142268,222350,31,32,69,50,64
Cases,08-06-22,65_79,283.5,203.7,231.7,1.4,1.2,0,0,0,0,0,45860,44684,169587,130,91,393,65,79
Hospitalizations,16-10-21,1_12,3,0,0,0,0,0,0,0,0,0,65944,97454,0,2,0,0,12,17
Cases,10-02-21,5_11,131.6,0,0,0,0,0,0,0,0,0,210448,0,0,277,0,0,5,11
Cases,02-04-23,5_11,168.8,185.5,212.3,0.9,0.8,0,0,0,0,0,91824,81940,21192,155,152,45,5,11
Deaths,04-03-21,18_29,0,0,0,0,0,0,0,0,0,0,385176,47882,0,0,0,0,18,29
Hospitalizations,08-06-22,0_4,6.1,0,0,0,0,0,0,0,0,0,162642,0,0,10,0,0,0,4
Cases,27-11-21,65_79,213.5,81.5,20.9,2.6,10.2,0,0,0,0,0,55747,122640,81384,119,100,17,65,79
Deaths,06-10-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,12-10-22,All,223.1,128.3,171.7,1.7,1.3,267.5,133.5,154.6,2,1.7,560620,851689,1039873,1251,1093,1785,999,999
Hospitalizations,27-11-21,18_29,12.9,1.6,0,8.1,0,0,0,0,0,0,154874,305350,24726,20,5,0,18,29
Hospitalizations,03-11-23,18_29,5.2,0.5,1.2,10.4,4.3,0,0,0,0,0,76587,213618,161667,4,1,2,18,29
Deaths,13-08-22,All,0.5,0.5,0.1,1,5,0.6,0.8,0.1,0.8,9,611563,848751,1018396,3,4,1,999,999
Hospitalizations,12-03-22,5_11,3.2,0,0,0,0,0,0,0,0,0,92929,81116,21117,3,0,0,5,11
Hospitalizations,28-08-21,80+,69.7,20.7,0,3.4,0,0,0,0,0,0,31562,53137,0,22,11,0,80,200
Cases,29-07-23,80+,8.2,96.6,42.4,0.1,0.2,0,0,0,0,0,24479,11383,47130,2,11,20,80,200
Deaths,27-08-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,29-04-23,18_29,1.3,0.5,1.2,2.6,1.1,0,0,0,0,0,75493,214091,161686,1,1,2,18,29
Deaths,05-08-21,All,3.1,0.2,0,15.5,0,4.4,0.1,0,33.2,0,1432023,822199,0,45,2,0,999,999
Deaths,23-10-21,50_64,5.4,0.9,0,6,0,0,0,0,0,0,74137,326932,13200,4,3,0,50,64
Hospitalizations,18-12-21,1_12,16,1.9,0,8.4,0,0,0,0,0,0,56227,107530,554,9,2,0,12,17
Hospitalizations,02-04-23,5_11,3.3,2.4,0,1.4,0,0,0,0,0,0,91824,81940,21192,3,2,0,5,11
Hospitalizations,08-07-21,30_49,14.6,0.8,0,18.2,0,0,0,0,0,0,260144,501004,0,38,4,0,30,49
Cases,26-03-22,5_11,37.6,114.6,0,0.3,0,0,0,0,0,0,103859,89867,0,39,103,0,5,11
Deaths,03-12-22,18_29,1,0,0,0,0,0,0,0,0,0,100487,221043,142046,1,0,0,18,29
Cases,15-04-23,18_29,81.8,22.4,27.8,3.7,2.9,0,0,0,0,0,75787,213968,161682,62,48,45,18,29
Cases,28-10-23,30_49,55.6,21.9,28.7,2.5,1.9,0,0,0,0,0,102493,279053,348149,57,61,100,30,49
Hospitalizations,14-10-23,80+,28.8,35.1,36,0.8,0.8,0,0,0,0,0,24292,11411,47164,7,4,17,80,200
Hospitalizations,22-05-21,18_29,11,0.5,0,22,0,0,0,0,0,0,254347,182708,0,28,1,0,18,29
Deaths,06-11-22,80+,0,0,0,0,0,0,0,0,0,0,26548,12467,45506,0,0,0,80,200
Cases,24-06-23,All,14.1,4.9,12.9,2.9,1.1,16.6,5,9.6,3.3,1.7,532973,860337,1040720,75,42,134,999,999
Hospitalizations,11-12-22,50_64,38.3,5.6,8.9,6.8,4.3,0,0,0,0,0,36564,125287,246697,14,7,22,50,64
Hospitalizations,27-11-21,30_49,25.8,1.2,1.2,21.5,21.5,0,0,0,0,0,189760,487368,82444,49,6,1,30,49
Cases,11-11-23,All,65.9,30.8,47.4,2.1,1.4,80.4,33.7,39.6,2.4,2,509670,862682,1045972,336,266,496,999,999
Deaths,25-12-21,65_79,45.4,12.7,3.3,3.6,13.8,0,0,0,0,0,52868,86648,119716,24,11,4,65,79
Deaths,05-08-21,65_79,15.4,0.6,0,25.7,0,0,0,0,0,0,84155,160587,0,13,1,0,65,79
Deaths,04-01-23,1_12,0,0,0,0,0,0,0,0,0,0,32922,86490,44568,0,0,0,12,17
Deaths,02-12-22,65_79,34.4,17.3,2.6,2,13.2,0,0,0,0,0,49452,57654,151402,17,10,4,65,79
Deaths,22-05-21,1_12,0,0,0,0,0,0,0,0,0,0,136624,0,0,0,0,0,12,17
Hospitalizations,30-04-22,1_12,0,1.1,3,0,0,0,0,0,0,0,37619,94445,33365,0,1,1,12,17
Hospitalizations,15-04-23,All,4.3,2.6,6.6,1.7,0.7,5.1,3.3,4.8,1.6,1.1,539653,859628,1040581,23,22,69,999,999
Cases,09-04-21,80+,66.9,54.7,0,1.2,0,0,0,0,0,0,31387,53047,0,21,29,0,80,200
Cases,23-09-23,0_4,42.4,2.5,0,17,0,0,0,0,0,0,162642,0,0,69,4,0,0,4
Cases,22-07-23,65_79,30.5,20.7,30.3,1.5,1,0,0,0,0,0,39318,43421,171748,12,9,52,65,79
Hospitalizations,26-08-23,50_64,12.4,5.6,2.8,2.2,4.4,0,0,0,0,0,32353,125723,246939,4,7,7,50,64
Cases,05-06-23,All,47.6,21,32.7,2.3,1.5,55.3,21.6,33.7,2.6,1.6,537432,860338,1040639,256,181,340,999,999
Deaths,31-12-22,30_49,0,0,0,0,0,0,0,0,0,0,113126,277262,347197,0,0,0,30,49
Hospitalizations,13-11-21,5_11,1.7,0,0,0,0,0,0,0,0,0,180456,0,0,3,0,0,5,11
Deaths,16-09-23,30_49,0,0,0,0,0,0,0,0,0,0,106807,278395,347325,0,0,0,30,49
Cases,30-04-22,18_29,304.2,119.3,295.2,2.5,1,0,0,0,0,0,96979,218010,150062,295,260,443,18,29
Deaths,06-03-23,5_11,0,0,0,0,0,0,0,0,0,0,90556,82682,21243,0,0,0,5,11
Cases,06-05-21,All,35.9,5.4,0,6.6,0,39.8,4.1,0,9.7,0,1279034,1158544,0,459,62,0,999,999
Cases,17-04-21,All,226.5,24.2,0,9.4,0,231.7,18,0,12.8,0,1616421,475163,0,3661,115,0,999,999
Cases,24-07-21,80+,30.5,15.4,0,2,0,0,0,0,0,0,32759,52117,0,10,8,0,80,200
Cases,03-12-22,65_79,45.1,24.4,32.5,1.8,1.4,0,0,0,0,0,48822,53213,157042,22,13,51,65,79
Deaths,03-11-23,80+,4.1,0,0,0,0,0,0,0,0,0,24673,11378,47126,1,0,0,80,200
Cases,01-08-22,5_11,2075.2,1841.8,0,1.1,0,0,0,0,0,0,132228,46476,0,2744,856,0,5,11
Cases,24-12-22,30_49,234.4,114,147.5,2.1,1.6,0,0,0,0,0,113497,277193,347177,266,316,512,30,49
Cases,23-09-23,65_79,105.1,66.8,58.8,1.6,1.8,0,0,0,0,0,39028,43414,171758,41,29,101,65,79
Cases,25-11-23,5_11,15.9,9.8,17.8,1.6,0.9,0,0,0,0,0,88264,81816,22441,14,8,4,5,11
Deaths,11-11-23,5_11,0,0,0,0,0,0,0,0,0,0,88571,82151,21989,0,0,0,5,11
Hospitalizations,14-05-22,50_64,18.4,9,4.7,2,3.9,0,0,0,0,0,43533,133809,234246,8,12,11,50,64
Cases,25-11-23,30_49,79.3,31.9,33.8,2.5,2.3,0,0,0,0,0,99562,279385,349175,79,89,118,30,49
Deaths,31-12-22,50_64,0,0.8,0.4,0,0,0,0,0,0,0,34879,125419,246812,0,1,1,50,64
Cases,08-06-22,80+,155.9,213,244.9,0.7,0.6,0,0,0,0,0,26292,11735,46545,41,25,114,80,200
Deaths,23-10-21,All,2,0.6,0,3.3,0,3.1,0.5,0,6.2,0,978761,1496643,68441,20,9,0,999,999
Cases,12-03-22,1_12,223.8,80.1,87.6,2.8,2.6,0,0,0,0,0,33965,86108,44513,76,69,39,12,17
Hospitalizations,19-08-23,65_79,17.9,9.2,8.7,1.9,2.1,0,0,0,0,0,39214,43417,171752,7,4,15,65,79
Deaths,21-10-23,1_12,0,0,0,0,0,0,0,0,0,0,31619,86566,44615,0,0,0,12,17
Deaths,12-04-21,All,3.7,0.5,0,7.4,0,5.4,0.6,0,9.3,0,864337,1287028,333146,32,6,0,999,999
Hospitalizations,29-05-21,All,11.6,1.3,0,8.9,0,15.7,0.8,0,18.8,0,1302037,1094752,0,151,14,0,999,999
Cases,26-03-22,80+,7.4,21.3,30.2,0.3,0.2,0,0,0,0,0,27071,14053,43109,2,3,13,80,200
Hospitalizations,16-10-21,18_29,7.6,0,0,0,0,0,0,0,0,0,170186,312457,0,13,0,0,18,29
Deaths,07-09-22,18_29,0,0,0,0,0,0,0,0,0,0,93482,214304,156355,0,0,0,18,29
Cases,13-08-22,50_64,469.6,144.4,212.4,3.3,2.2,0,0,0,0,0,40677,126700,244360,191,183,519,50,64
Cases,15-07-23,65_79,28,16.1,12.8,1.7,2.2,0,0,0,0,0,39336,43424,171745,11,7,22,65,79
Hospitalizations,09-10-22,1_12,5.7,0,0,0,0,0,0,0,0,0,35208,85939,44085,2,0,0,12,17
Hospitalizations,16-07-22,5_11,1,0,0,0,0,0,0,0,0,0,98597,88329,8887,1,0,0,5,11
Hospitalizations,09-02-23,80+,12.3,52.7,36.1,0.2,0.3,0,0,0,0,0,24460,11380,47133,3,6,17,80,200
Deaths,29-07-23,1_12,0,0,0,0,0,0,0,0,0,0,32091,86577,44592,0,0,0,12,17
Hospitalizations,07-09-22,0_4,6.1,0,0,0,0,0,0,0,0,0,162642,0,0,10,0,0,0,4
Cases,26-08-23,18_29,87.2,29.9,25.4,2.9,3.4,0,0,0,0,0,73401,214130,161720,64,64,41,18,29
Hospitalizations,15-01-22,65_79,311.9,170.5,42.1,1.8,7.4,0,0,0,0,0,50970,69775,137780,159,119,58,65,79
Cases,12-03-22,18_29,303.7,94.5,110.2,3.2,2.8,0,0,0,0,0,81009,212601,161582,246,201,178,18,29
Cases,07-02-22,5_11,69.5,83.3,151.3,0.8,0.5,0,0,0,0,0,99299,90057,6610,69,75,10,5,11
Hospitalizations,22-10-22,1_12,0,1.2,2.2,0,0,0,0,0,0,0,34553,85923,44472,0,1,1,12,17
Deaths,09-02-23,80+,0,0,2.1,0,0,0,0,0,0,0,24460,11380,47133,0,0,1,80,200
Deaths,03-11-23,5_11,0,0,0,0,0,0,0,0,0,0,91381,82312,21210,0,0,0,5,11
Hospitalizations,03-12-22,65_79,14.3,9.4,3.8,1.5,3.8,0,0,0,0,0,48822,53213,157042,7,5,6,65,79
Hospitalizations,25-09-21,30_49,22,1.1,0,20,0,0,0,0,0,0,223214,528608,0,49,6,0,30,49
Hospitalizations,11-04-23,All,5.5,2.3,4.5,2.4,1.2,7.8,3.8,3.2,2,2.4,512405,862552,1044756,28,20,47,999,999
Deaths,12-11-21,50_64,17.6,1.2,1.1,14.7,16,0,0,0,0,0,62340,258308,92192,11,3,1,50,64
Hospitalizations,05-01-21,30_49,25.7,0.8,0,32.1,0,0,0,0,0,0,365119,238588,0,94,2,0,30,49
Cases,21-01-23,1_12,164.3,67.2,71.8,2.4,2.3,0,0,0,0,0,33470,86275,44545,55,58,32,12,17
Hospitalizations,08-06-22,50_64,31.8,11.8,9,2.7,3.5,0,0,0,0,0,40870,127180,243708,13,15,22,50,64
Cases,24-09-22,50_64,266.4,61.5,105.5,4.3,2.5,0,0,0,0,0,39417,125139,246539,105,77,260,50,64
Cases,06-12-21,1_12,20.3,0,0,0,0,0,0,0,0,0,118282,13905,0,24,0,0,12,17
Cases,19-11-22,1_12,172.7,74.4,76.4,2.3,2.3,0,0,0,0,0,34157,86027,44509,59,64,34,12,17
Cases,02-05-22,0_4,178.3,0,0,0,0,0,0,0,0,0,162642,0,0,290,0,0,0,4
Deaths,29-01-22,50_64,40.2,4.8,2.1,8.4,19.1,0,0,0,0,0,49696,165132,193153,20,8,4,50,64
Deaths,12-10-22,5_11,0,0,0,0,0,0,0,0,0,0,92766,81208,21125,0,0,0,5,11
Cases,08-07-21,1_12,142.6,20.7,0,6.9,0,0,0,0,0,0,89733,67504,0,128,14,0,12,17
Cases,17-06-23,0_4,13.5,0.6,0,22.5,0,0,0,0,0,0,162642,0,0,22,1,0,0,4
Cases,26-02-22,80+,66.2,47.2,14.2,1.4,4.7,0,0,0,0,0,27200,14818,42125,18,7,6,80,200
Cases,05-07-22,65_79,184.8,103.5,186.8,1.8,1,0,0,0,0,0,47611,49260,162746,88,51,304,65,79
Hospitalizations,15-05-21,30_49,22.7,0.9,0,25.2,0,0,0,0,0,0,338871,332283,0,77,3,0,30,49
Hospitalizations,09-03-22,30_49,9.6,5.1,3.2,1.9,3,0,0,0,0,0,125170,276368,345994,12,14,11,30,49
Deaths,24-12-22,65_79,4.9,0,1.2,0,4.1,0,0,0,0,0,40797,43362,171663,2,0,2,65,79
Hospitalizations,22-07-23,30_49,1.9,0.4,0.3,4.8,6.3,0,0,0,0,0,107614,278401,347312,2,1,1,30,49
Hospitalizations,20-11-21,80+,58.6,67.8,16.3,0.9,3.6,0,0,0,0,0,29022,36868,18401,17,25,3,80,200
Hospitalizations,20-05-23,50_64,12.1,0.8,2.8,15.1,4.3,0,0,0,0,0,32964,125743,246910,4,1,7,50,64
Deaths,12-04-21,18_29,0.7,0,0,0,0,0,0,0,0,0,151690,300768,31036,1,0,0,18,29
Cases,02-04-23,0_4,66.4,8.6,0,7.7,0,0,0,0,0,0,162642,0,0,108,14,0,0,4
Cases,09-04-21,18_29,260.4,92.6,0,2.8,0,0,0,0,0,0,188921,294893,0,492,273,0,18,29
Cases,09-03-22,18_29,210.1,86.9,128.7,2.4,1.6,0,0,0,0,0,90904,211667,160838,191,184,207,18,29
Deaths,18-09-21,18_29,1.1,0,0,0,0,0,0,0,0,0,181678,301822,0,2,0,0,18,29
Cases,16-07-22,30_49,365.6,167.9,294.4,2.2,1.2,0,0,0,0,0,127190,279873,341011,465,470,1004,30,49
Cases,26-08-23,80+,40.9,87.9,95.5,0.5,0.4,0,0,0,0,0,24464,11380,47133,10,10,45,80,200
Hospitalizations,04-03-21,65_79,42.5,4.3,0,9.9,0,0,0,0,0,0,105935,91962,0,45,4,0,65,79
Hospitalizations,11-04-23,30_49,4.9,1.4,1.7,3.5,2.9,0,0,0,0,0,101766,279203,348427,5,4,6,30,49
Hospitalizations,18-09-21,65_79,42.3,9.3,0,4.5,0,0,0,0,0,0,63900,193739,0,27,18,0,65,79
Cases,22-10-22,5_11,76.5,102.9,96.8,0.7,0.8,0,0,0,0,0,94103,80652,20656,72,83,20,5,11
Deaths,09-11-21,All,2.1,0.5,0,4.2,0,3.3,0.4,0,7.6,0,1046939,1475716,0,22,8,0,999,999
Hospitalizations,06-05-21,80+,17.4,4.1,0,4.2,0,0,0,0,0,0,34448,49247,0,6,2,0,80,200
Hospitalizations,22-01-22,30_49,52.1,12.6,7.8,4.1,6.7,0,0,0,0,0,149571,332274,256937,78,42,20,30,49
Deaths,30-04-22,All,0.2,0.2,0,1,0,0.1,0.4,0,0.3,0,650306,891088,952817,1,2,0,999,999
Hospitalizations,09-09-23,80+,12.3,17.6,46.7,0.7,0.3,0,0,0,0,0,24452,11380,47133,3,2,22,80,200
Deaths,26-11-22,50_64,0,0,0,0,0,0,0,0,0,0,36067,125335,246724,0,0,0,50,64
Hospitalizations,23-07-22,0_4,6.8,0,0,0,0,0,0,0,0,0,162642,0,0,11,0,0,0,4
Cases,15-01-22,50_64,2103.6,799.1,640.1,2.6,3.3,0,0,0,0,0,52767,184203,171854,1110,1472,1100,50,64
Deaths,01-07-23,65_79,0,0,1.2,0,0,0,0,0,0,0,40561,43362,171679,0,0,2,65,79
Hospitalizations,20-11-21,5_11,1.2,0,0,0,0,0,0,0,0,0,166798,1,0,2,0,0,5,11
Hospitalizations,25-12-21,5_11,4.9,0,0,0,0,0,0,0,0,0,143394,37144,0,7,0,0,5,11
Cases,07-03-21,50_64,20.2,2,0,10.1,0,0,0,0,0,0,109144,300501,0,22,6,0,50,64
Hospitalizations,26-08-23,0_4,2.5,0,0,0,0,0,0,0,0,0,162642,0,0,4,0,0,0,4
Deaths,01-01-22,1_12,0,0,0,0,0,0,0,0,0,0,53465,108405,1872,0,0,0,12,17
Deaths,04-02-22,30_49,0,0,0,0,0,0,0,0,0,0,132699,290611,324980,0,0,0,30,49
Hospitalizations,10-02-21,65_79,45,9.8,0,4.6,0,0,0,0,0,0,62283,193295,0,28,19,0,65,79
Cases,26-08-23,0_4,45.5,2.5,0,18.2,0,0,0,0,0,0,162642,0,0,74,4,0,0,4
Cases,29-07-23,All,23,15,23.4,1.5,1,25.6,16.4,20.3,1.6,1.3,530107,860315,1040772,122,129,244,999,999
Hospitalizations,08-06-22,18_29,14.1,4.7,2.5,3,5.6,0,0,0,0,0,92082,212811,158786,13,10,4,18,29
Deaths,07-03-21,1_12,0,0,0,0,0,0,0,0,0,0,107885,48259,0,0,0,0,12,17
Hospitalizations,24-07-21,65_79,12.8,2.1,0,6.1,0,0,0,0,0,0,70306,191132,0,9,4,0,65,79
Hospitalizations,11-12-22,65_79,40.4,30,21,1.3,1.9,0,0,0,0,0,42041,43328,171584,17,13,36,65,79
Deaths,15-05-21,80+,16.8,0,0,0,0,0,0,0,0,0,35729,45820,0,6,0,0,80,200
Deaths,26-08-23,30_49,0,0,0,0,0,0,0,0,0,0,107080,278396,347321,0,0,0,30,49
Deaths,17-09-22,5_11,0,0,0,0,0,0,0,0,0,0,95128,81802,18308,0,0,0,5,11
Deaths,29-07-23,18_29,0,0,0,0,0,0,0,0,0,0,73789,214134,161712,0,0,0,18,29
Cases,10-01-22,18_29,137.4,35.4,60.7,3.9,2.3,0,0,0,0,0,88079,211686,161454,121,75,98,18,29
Deaths,19-03-22,5_11,0,0,0,0,0,0,0,0,0,0,104261,88478,0,0,0,0,5,11
Deaths,21-01-23,65_79,5,0,0,0,0,0,0,0,0,0,40373,43379,171682,2,0,0,65,79
Cases,13-08-22,1_12,115,70,114.6,1.6,1,0,0,0,0,0,35638,88571,41021,41,62,47,12,17
Hospitalizations,03-11-23,1_12,0,1.2,0,0,0,0,0,0,0,0,33097,86429,44562,0,1,0,12,17
Hospitalizations,18-02-23,80+,32.4,79.1,59.4,0.4,0.5,0,0,0,0,0,24700,11377,47122,8,9,28,80,200
Cases,27-05-23,18_29,22.7,9.8,11.8,2.3,1.9,0,0,0,0,0,74841,214134,161693,17,21,19,18,29
Deaths,22-07-23,5_11,0,0,0,0,0,0,0,0,0,0,90050,82668,21259,0,0,0,5,11
